PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap,MthRet,ShrOut,MthPrc_Abs,DateKey,Mkt-RF,SMB,HML,RMW,CMA,RF,ExcessRet,y_next,ret_lag1,ret_lag2,ret_lag3,history_len,log_size,predicted_return,rank
10028,29402E10,ELA,7978,2023-02-28,7.3,196552.5,0.092847,26925,7.3,202302,-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,0.089447,-0.113189,0.266424,0.0141079999999999,-0.018138,56,12.188684850178936,0.0017833461085898998,2.0
10032,72913210,PLXS,7980,2023-02-28,95.89,2656344.78,-0.001042,27702,95.89,202302,-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,-0.004442,0.01392,-0.070924,-0.06944,0.117222,334,14.792461592900631,0.0017833461085898998,3.0
10044,77467X10,RMCF,7992,2023-02-28,5.01,31347.57,-0.068479,6257,5.01,202302,-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,-0.071879,0.054284,-0.059939,-0.065028,-0.085226,299,10.352892031095138,0.0017833461085898998,4.0
10065,00621210,ADX,20023,2023-02-28,15.34,1808156.48,-0.010985,117872,15.34,202302,-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,-0.014385,0.01009,0.066651,-0.06765,0.05057,334,14.407818364861704,0.0017833461085898998,5.0
10104,68389X10,ORCL,8045,2023-02-28,87.4,235652512.2,-0.011983,2696253,87.4,202302,-0.0256999999999999,0.0058,-0.008,0.0097,-0.0151,0.0034,-0.015383,0.059558,0.082719,-0.018837,0.060633,334,19.27786887200284,0.0017833461085898998,6.0
10026,46603210,JJSF,7976,2023-03-31,148.22,2853531.44,0.054785,19252,148.22,202303,0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,0.051185,0.0300989999999999,-0.017985,-0.0463159999999999,-0.086336,335,14.864067886946213,-0.012130042589108898,1.0
10028,29402E10,ELA,7978,2023-03-31,6.5,175012.5,-0.109589,26925,6.5,202303,0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,-0.113189,-0.0327309999999999,0.089447,0.266424,0.0141079999999999,57,12.07261267892618,-0.012130042589108898,2.0
10032,72913210,PLXS,7980,2023-03-31,97.57,2697517.79,0.01752,27647,97.57,202303,0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,0.01392,-0.107015,-0.004442,-0.070924,-0.06944,335,14.807842571088043,-0.012130042589108898,3.0
10044,77467X10,RMCF,7992,2023-03-31,5.3,33162.1,0.057884,6257,5.3,202303,0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,0.054284,0.007821,-0.071879,-0.059939,-0.065028,300,10.40916293655644,-0.012130042589108898,4.0
10065,00621210,ADX,20023,2023-03-31,15.55,1832909.6,0.01369,117872,15.55,202303,0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,0.01009,0.008719,-0.014385,0.066651,-0.06765,335,14.421415207547838,-0.012130042589108898,5.0
10104,68389X10,ORCL,8045,2023-03-31,92.92,250865601.84,0.063158,2699802,92.92,202303,0.0249,-0.0689,-0.0905,0.0227,-0.021,0.0036,0.059558,0.02022,-0.015383,0.082719,-0.018837,335,19.34042790285441,-0.012130042589108898,6.0
10026,46603210,JJSF,7976,2023-04-28,153.2,2949406.4,0.033599,19252,153.2,202304,0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,0.0300989999999999,0.001296,0.051185,-0.017985,-0.0463159999999999,336,14.89711448772949,-0.008060839694387222,1.0
10028,29402E10,ELA,7978,2023-04-28,6.31,169896.75,-0.029231,26925,6.31,202304,0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,-0.0327309999999999,0.135861,-0.113189,0.089447,0.266424,58,12.042946178577711,-0.008060839694387222,2.0
10032,72913210,PLXS,7980,2023-04-28,87.47,2418283.09,-0.103515,27647,87.47,202304,0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,-0.107015,0.033098,0.01392,-0.004442,-0.070924,336,14.698568379399951,-0.008060839694387222,3.0
10044,77467X10,RMCF,7992,2023-04-28,5.36,33537.52,0.011321,6257,5.36,202304,0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,0.007821,-0.048376,0.054284,-0.071879,-0.059939,301,10.420420091081072,-0.008060839694387222,4.0
10065,00621210,ADX,20023,2023-04-28,15.74,1902100.3,0.012219,120845,15.74,202304,0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,0.008719,0.0008549999999999,0.01009,-0.014385,0.066651,336,14.458469254661336,-0.008060839694387222,5.0
10104,68389X10,ORCL,8045,2023-04-28,94.72,255725245.44,0.02372,2699802,94.72,202304,0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,0.02022,0.114854,0.059558,-0.015383,0.082719,336,19.359614166087898,-0.008060839694387222,6.0
10026,46603210,JJSF,7976,2023-05-31,153.95,2963845.4,0.004896,19252,153.95,202305,0.0033,-0.0043,-0.0779,-0.0178,-0.0708,0.0036,0.001296,0.029271,0.0300989999999999,0.051185,-0.017985,337,14.90199810479351,-0.017898654787901213,1.0
