PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap,MthRet,ShrOut,MthPrc_Abs,DateKey,Mkt-RF,SMB,HML,RMW,CMA,RF,ExcessRet,y_next,ret_lag1,ret_lag2,ret_lag3,history_len,log_size,predicted_return,rank
10044,77467X10,RMCF,7992,2022-08-31,6.66,41445.18,-0.014793,6223,6.66,202208,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,-0.016693,-0.099498,-0.0196679999999999,0.020141,0.02088,293,10.632126869121516,0.035428752431666904,133.0
10051,41043F20,HNGR,7999,2022-08-31,18.63,728861.49,0.003231,39123,18.63,202208,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,0.001331,0.002931,0.295988,-0.093697,-0.039838,262,13.499238992938508,0.035428752431666904,134.0
10065,00621210,ADX,20023,2022-08-31,16.07,1894203.04,-0.031452,117872,16.07,202208,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,-0.033352,-0.095242,0.083946,-0.07706,-0.009194,328,14.454308748672016,0.035428752431666904,135.0
10026,46603210,JJSF,7976,2022-09-30,129.47,2488283.93,-0.126859,19219,129.47,202209,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,-0.128759,0.13781,0.097871,-0.0305149999999999,0.094077,329,14.72710384610496,0.08742202904783553,1582.0
10028,29402E10,ELA,7978,2022-09-30,5.06,136240.5,-0.30303,26925,5.06,202209,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,-0.30211295,0.035249,0.089829,-0.068121,0.344708,51,11.822176985323964,0.05220227629909331,4272.0
10032,72913210,PLXS,7980,2022-09-30,87.56,2423573.24,-0.065827,27679,87.56,202209,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,-0.067727,0.121501,-0.004242,0.196015,-0.074892,329,14.700753554566036,0.08742202904783553,1583.0
10044,77467X10,RMCF,7992,2022-09-30,6.01,37400.23,-0.097598,6223,6.01,202209,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,-0.099498,0.099198,-0.016693,-0.0196679999999999,0.020141,294,10.529432133116334,0.05220227629909331,4273.0
10051,41043F20,HNGR,7999,2022-09-30,18.72,732382.56,0.004831,39123,18.72,202209,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,0.002931,-0.0006969999999999,0.001331,0.295988,-0.093697,263,13.504058279374458,0.08674010675676815,2963.0
10065,00621210,ADX,20023,2022-09-30,14.57,1717395.04,-0.093342,117872,14.57,202209,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019,-0.095242,0.071825,-0.033352,0.083946,-0.07706,329,14.356319189129708,0.08742202904783553,1584.0
10026,46603210,JJSF,7976,2022-10-31,147.61,2836916.59,0.14011,19219,147.61,202210,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023,0.13781,0.108271,-0.128759,0.097871,-0.0305149999999999,330,14.85822831258331,-0.011573375746955095,1.0
